oyuncakgo,54,Neutral,Gelen ürün ve paketleme mükemmel fakat iki tane kırmızı istedim birini turuncu göndermişsiniz ve kırmızı olan araçta sıkıntı var dönüşüm yapıldığı zaman kanatları elinizle açmayana kadar açılmıyor ve kapattığımız zamanda kapılar kapanmıyor yinede tşk.
korayspr,1049,Sad,Aksaminda kargolanan urun ertesi gun elimde oldu bu harika ama aldigim urun iki gun sonra 40 lira indirime girdigini gorunce sinirlendim. Mesaj attim ilk cevap vermediler. Sonrada kismi iade yapamiyoruz dediler bu adam kaziklamaktir.
missliva,146,Sad,Satıcı stoğunda olmayan ürünü satmıştır. Temin süresi gecikince de satış tarafımca iptal edilmiştir.
missliva,130,Happy,"Hızlı kargo, orjinal ve kaliteli ürün. teşekkürler :)"
esfashop,226,Happy,teşekkür ederim
newyorker34,163,Happy,Teşekkür ediyorum ürün ulaştı.
kalemsahaf,179,Happy,teşekkürler
otogold,79,Happy,hızlı
newyorker34,405,Neutral,Kargo suresi cok gecti ve ilk resimdeki rengi begenmistim fakat farkli bi ton geldi.ama temiz defosuz orjinal urun olmasi memnuniyet vericiydi
korayspr,1964,Sad,2.11.2016 Trabzon kargo şubesine geldi. 4.11.2016 saat 14.20'de teslim edildi.
yuzyilavm,9,Happy,Ürün vaktinden önce geldi saticiya tesekkür ediyorum.
ayazkozmetik,33,Sad,Ürün fotoğraftaki ile birebir aynı değil.
otoaksesuarim_,637,Neutral,"ürün güzel, fakat vida yerleri denk gelmiyor."
mdotoaksesuar1,14,Sad,"ÜRÜNLER ÇOK UFAK, ÜRÜN KALİTESİZ, GELEN KÖPEKLERDEN BİRİSİ KIRIK. HEDİYE ALALIM DEDİK BURNUMUZFÇDAN GELDİ"
hakkiotomotiv,37,Neutral,...
yuzyilavm,150,Happy,Alırken kaygiliydim. Ama sorun olmadığını gördüm.
otogold,337,Happy,"İlgili, dikkatli ve güvenilir bir satıcı."
otoaksesuarim_,301,Neutral,PTT kargo ile geldi 5 günde mng ile gelebilirdi
kalemsahaf,75,Happy,Teşekkürler
kalemsahaf,9,Happy,Teşekkür ederim.
kalemsahaf,222,Happy,teşekkürler
CarWaxCarCare,6,Neutral,Ürün kargoya çok geç verildi zamanında teslimat olmadı onun haricinde herhangibir sıkıntı yok
oyuncakxl,570,Sad,"3 adet kostüm aldım , 3 ünde de yanlış beden geldi , iade ettim, sadece birinin parası iade edildi. Satıcıya ulaşamıyorum , gitti gidiyor müşteri hizmetlerini 1 haftadır arıyorum iade durumda benmi peşinizden koşup sürekli arıyacağım sizi ."
kutukutuoyuncak,585,Sad,Ürün hala gelmedi teslim almadım
cepport,1430,Neutral,Elinde olmayan ürünü (gold rengi olanı) satmak ne kadar doğru.
kardemticaret,114,Sad,saat 14:00 de sipariş vermeme rağmen ürün aynı gün kargolanmadı. acil olarak temin etmeniz gerekirse sıkıntı yaşarsınız.
missliva,210,Neutral,Açık gelen bi parfüm kutusu
modamarka-shop,178,Sad,Kargo takibinin daha özenli yapilmasının gerektiğini düşünüyorum.
cebkozmetik,34,Sad,Kargom gelmedi. Adresime 30 km ötedeki kargo adresine yönlendirilmiş. Adresi açıkça yazmış olmama rağmen. Aldığım cevap tanımsız adres
yuzyilavm,143,Happy,Urun güzel yalnız tutacakları tam oturmuyor arada boşluk kalıyor
yuzyilavm,163,Happy,Arızalı gönderdiğim ürünümü aynı gün yenisi ile değiştirip gönderildi teşekkürler
soleshopping,219,Neutral,Ürünün pili çok adi. Telefon gibi sürekli şarj gerektiriyor
indirim-yeri,412,Sad,"Bu ürünü almak istiyorsanız Tavsiye ederim. Çok geniş. Sesi az. Yalnız satıcıya gelirsek o kadar umursamaz ki 4 kere mesaj attım hiç birine cevap vermedi. Tok satıcı. Hele o horoz kargo yok mu, paramla rezil oldum. Sinir krizi geçirttiler bilginize.."
powertecturkiye,522,Sad,Cok gec geldi
strawberrykozmetik,635,Neutral,kolonya gibi ama ucuz
yuzyilavm,104,Happy,Kalite kokuyor
strawberrykozmetik,449,Neutral,Kargo konusunda sıkıntı var
tedarikcenter,218,Neutral,Gelen ürün kaliteden yoksun demirleri demir degil sert plastik tutma yerleri elleri acıtır puruzlu dambilarda yetersiz
kutukutuoyuncak,568,Sad,Ürün onayın son günü elime ulaşılıyor ürünü denemeden satıcı onay bekliyor siz olsanız denemeden onay verir misiniz
korayspr,1253,Sad,Adamlar mali göndermek için elinden geleni yapıyorlar . Bir tane iptal işlemim var ne gittigidiyor yardımcı oluyor nede satıcı bundan sonra gittigidiyor dan da alışveriş yapmayacağım artık satıcıyı koruyorlar madde olan halbuki ki bizleriz
kalemsahaf,86,Happy,Teşekkürler
oyuncakgo,3,Neutral,yerlestirildiginde sabit durmuyor alt taban plakalara göre çok büyük
akhan-tuning,21,Sad,koargo 1 günde geldi araca taktım fakat ürün hiç güzel değil kumaşı resimdeki gibi kaliteli değil dikiş iplikleri mavi aldığım bej rengi takarken sökülüyor bej rengine mavi iplik olmamalı sırıtıyor kalitesi 200 tl edecek mal değil en fazla 70 80 lira ede
surpriz_color,232,Neutral,Resimlerde görüldüğü kadar büyük değil.
hakkiotomotiv,39,Sad,ÜRÜNÜN İADESİNİ GERÇEKLEŞTİRMİYORLAR
otoaksesuarim_,607,Neutral,Birebir araca uyumlu bir ölçüde olduğunu düşünmeyin Ayrıca soğuk kaynak yerine dikiş kullanılmış ve iç kısımdaki miflon kaplama yeterli değil
missliva,92,Happy,Özlenen koku!!:) uzun süredir hiçbiyerde bulamamıştım teşekkürler
baysalotomotiv,627,Sad,ÜRÜN 1 HAFTA DA ANCAK ELİME ULAŞTI O KADAR TAKİP ETMEME VE ARAYIP SORMAMA RAĞMEN FAZLA SÖZE GEREK YOK HİZMET ORTADA TEŞEKKÜRLER İLGİNİZ İÇİN...
newyorker34,418,Neutral,Ürün orjinal ama geç kargo
cebkozmetik,18,Sad,Ürün hasarlı elime ulaştı.Kavanoz kırılmış olarak teslim edildi.Urun çöpe gittim
tedarikcenter,226,Sad,Barlar çok dandik
guldasguldas,81,Neutral,Ürün görseldeki gibi aynı ancak parlaklık yok bu parayada ancak bu gelirdi ancak sagıcı ile iletişim kuramıyorsun aracımın modelini söylememe rağmen yanlış geldi bende uzunlarda kullandım. Daha kaliteli ürün alınabilir
yuzyilavm,108,Happy,Ürün düzgün bir şekilde geldi.
korayspr,2940,Sad,Beni rezil eden bi satıcı oldu..Ürünün çok acil elime ulaşması gerektiğini satıcıya mesaj attım.Tamam şu gün dedi kargolamadı. Son gün kargoya verdi.Kargo zaten 4 günde getirdi.İlk defa bu derece mağdur oldum.Bu satıcıya yakışmadı.Tavsiye etmiyorum ------
oyuncakxl,261,Neutral,Paket &#128078;
yuzyilavm,525,Neutral,urun eksık geldı ve halen eksik parça bır hafta oldu ulaşmadı...
medgross,100,Sad,Kargoda sorun çıktı kimse tarafıma ulaşmadı satıcı numarasını bularak kendim ulaştım.site üzerinden attığım mesaja günlerce kimse dönmedi. memnun kalmadım
kutukutuoyuncak,584,Sad,Hediye paketi rica ettik cevap bile vermedi. Urunu faturasiz gonderdi.
akhan-tuning,357,Neutral,bana bu vites topuzunun benım araca uyumlu oldugunu soylenılmesıne rahmen vites topuzunu kullanamadımaracımauyumlu cıkmadı.
pleksiplakalikk,24,Happy,Gayet iyi fiyatına göre güzel
firsatsever,182,Happy,Beden tam uyumlu.
surpriz_color,47,Neutral,Urun çok dandik
onlineaksesuar_,4,Happy,Sağlam teslim aldım paketleme özenliydi.kargoda sıkıntı yaşadım satıcının kabahati değil. kargo firmasının eksikliği.saticinin gönderirken üzerine telefon ihbarli yazdığı halde kargo geliyor evde yokum diye 2kere geri dönüyor aramak akıllarına gelmiyor.
missliva,128,Neutral,NİYE ACABA OLUMSUZ YORUMLARIN YAYINLANIYOR ÇOK MERAK EDİYORUM.AYNI GÜN KARGO DENİLMESİNE RAĞMEN BIRAKIN AYNI GÜN KARGOYU 2 GÜN SONRASINA BİLE ÜRÜNÜ GÖNDERMEDİLER ÜSTELİK MESAJLARIMA CEVAP VERMEMELERİ DE CABASI KESİNLİKLE TAVSİYE ETMİYORU.
korayspr,1696,Neutral,"sipariş ettiğim ürün gelmedi, satıcı geri gönder dedi ama benim istediğim ürün tülenmiş"
onlineaksesuar_,99,Happy,Ürün gayet güzel. Hiç bir şüpheniz olmasın. Bulup bulabileceğiniz en düşük fiyatlı 16 gb micro sd kart. Tereddütsüz tavsiye ederim. Tek sorun ise ürünün kargo kargo kısmında Yurtiçi Kargo ile kargolanıyor yazması ama Sürat Kargo ile kargolanması.
prozzak3,159,Neutral,Cok gec yetisiyr elime
turbo_aksesuar,18,Sad,formlu diye gönderdiklkeri çıtalar alalede kesilmiş düz çıta çıktı üstelik almadan önce mesaj yazıp sormustum
kalemsahaf,196,Happy,"Hızlı kargo, hızlı cevaplar. Teşekkürler."
kitapavcisi,15,Happy,Çok hızlı bir şekilde elime ulaştı. Herhangi bir sorun yaşamadım. Teşekkürler
kalemsahaf,148,Happy,"özenli ambalaj, hızlı kargo, çok teşekkürler."
ayhanlarkozmetik,235,Neutral,Ürünü henüz kullanamadık ama kargolan ma işlemi çok hızlı
missliva,94,Happy,Siparişimden sonraki ikinci gün ürün bana ulaştı. Müthiş hız. Teşekkürler&#128079;
missliva,157,Happy,phşo gp8hğ
onlinemarket,108,Neutral,Ürün iyi gözüküyor fakat satış sonrası mağazanın iletişimi kötü. Ürün elime geçtikten sonra sorduğum soruya hala cevap alamadım.ürünle ilgili birkaç sorum vardı ama cevap verilmediği için öğrenemedim.İlginiz ürünü satana kadar olmamalı.
otogold,281,Happy,hızlı kargo ve güzel paket için teşekkür ederim
otogold,7,Happy,Hızlı kargo.saglam ürün.tesekkurler
newyorker34,149,Happy,Kesinlikle öneriyorum ürün ekstra kaliteli mağaza zaten fazla söze gerek yok teşekkürler gittigidiyor&newyorker34
kitapavcisi,94,Happy,KARGONUZU DEĞİŞTİRİN ÜRÜN PROBLEMSİZ
mdotoaksesuar1,199,Sad,Ürün resmindeki renkde değildi
otogold,55,Happy,"Yağ üzerindeki tarih 06.17 idi, sitesinde raf ömrü 10yıl yazdığı için pek onemsemedim . dışında paketlenmesi falan sorunsuz."
avonayhan,232,Sad,"Faturamı göndermedi,daha sonra faturasının olmadığını belirtince elle doldurulmuş fatura gönderdi,ürünün orijinal olmadığını düşünüyorum"
onlineaksesuar_,59,Happy,Hızlı kargo. İlgili satıcı. Çok teşekkür ederim.
engo,12,Neutral,Teşekkürler
firsatsever,83,Happy,"Ürünün fiyatındanda anlayacağınız şekilde muntazaman bir ses kalitesi beklemeyin. Bluetooth konusunda başarılı, şarjı henüz tam performans deneyimleyemedim. Ürünler sorunsuz elime ulaştı. Satıcıya teşekkür ediyorum."
indirim-yeri,495,Sad,"Hiçbir mesaja cevap vermiyor satıcı, kargo bilgileri yanlış ürün çok geç geldi."
hakkiotomotiv,162,Sad,Aynı gün ücretsiz kargo yazıyor satış seçeneğinde ama kargo parası ödemeli geldi . Ürün sağlam çalışıyor erken teslimat .
korayspr,2997,Neutral,Asics marka ayakkabılar Türk ölçülerine göre en az bir numara kadar küçük. Bunu bildiğim için bir numara büyük sipariş ettiğim halde o bile küçük geldi. Satıcının veya aracının kusuru değil elbette ancak Asics marka ayakkabı alacaklar bu konuya dikkat!!!
newyorker34,50,Happy,Teşekkür ederim.
otoaksesuarim_,447,Neutral,orjinal ürünün fiyatıyla kıyasladığınızda güzel bir fiyat. İşinizi görebilecek bir ürün.
otoaksesuarim_,163,Neutral,urun kırık geldı
newyorker34,2220,Sad,ilk defa gitti gidiyordan ürün aldım.ürünün tanıtımında orjinal yazıyordu.ürünün orjinallikle bir alakası yok.
powertecturkiye,237,Neutral,Ürün gec geldi.
newyorker34,514,Neutral,Ayakkabinin ucunda yapiskani kumasina bulasmis bir sekilde geldi. Insallah kullanirken kusa surede deformasyona ugramaz.Ilk kez bir Superga'da boyle birsey goruyorum. Umarim gercekten orjinal ve saglam urundur.
modamarka-shop,184,Happy,çok iyi bir firma teşekkür ederim
powertecturkiye,550,Neutral,makine fena değil ama hafif tüy bırakıyor
missliva,249,Happy,ÜrünSorunsuz Elime Geçti Herkese Teşekkürler.
markastokk,51,Neutral,nötr
prozzak3,237,Sad,Orijinal değil
korayspr,829,Neutral,Ürün beklediğim gibi çıkmadı boşluk kısımları yağmur luk kumaştan sert bir cisme temas etse yırtılacak gibi kusura bakmayın ben komple standart süet sandım
korayspr,2886,Neutral,Notr
surpriz_color,123,Sad,Çok geç geldi verdiğim sipariş
powertecturkiye,668,Neutral,Ürün faturası yok gelmedi Gelmesi uzun sürdü
oyuncakxl,280,Neutral,Kullanım kılavuzu yok ve garanti belgesi yok
ddukkan35,376,Sad,ÜTÜNÜN İÇİNDE SU VARDI KULLANILMIŞ YADA DENENMİŞ ÜTÜ YOLLANMIŞ.BURDA UPS KARGO UZAKTA OLDUĞU İÇİN ONAYLAMAK ZORUNDA KALDIM ALICILARIN DİKKATİNE...!
yuzyilavm,166,Happy,Ürünüm hızlıca servis tarafından getirildi ve kuruldu. Teşekkürler
kutukutuoyuncak,923,Sad,Olmauz vermemin sebebi kargo sirketinin sorumsuz olusu bide kargo dalga gecer gibi telefon acip gelin alin demeleri Eger alisverislerinizde kargo sirketi aras ise bi daha dusunun derim hizmet kalitesi cok kotu
enduluskitapevi,45,Neutral,Stıcının sorunu yok ama kargo çok sıkıntılı başka bir kargo şirketi ile anlaşması avantajına olur.
guldasguldas,168,Neutral,Ürün çok inçe bagaçj havuzu tam oturmuyor
firsatsever,121,Happy,Olumlu
powertecturkiye,196,Neutral,Güzel bir ürün parasının hakkını veriyor ama paketleme çok kötü geldiğinde kutu açıktı
missliva,149,Happy,urunun kodunu girip onaylatim. urun orjinal ancak tester urunu.benim icin sorun olmadi. alacak olanlarin bilmesini isterim.
korayspr,1730,Sad,1 hafta oldu hala gelmedi
otogold,153,Happy,Paketleme biraz amator onun disinda sorun yok
modamarka-shop,264,Happy,"Kaliteli urun, hızlı kargo"
korayspr,973,Sad,179 liraya aldım 149 liraya düşürdüler bi gün sonra
otoaksesuarim_,733,Neutral,çakmak soketi çok fazla ısınma yapıyor.fiyat iyi yalnız
yuzyilavm,197,Happy,"Güzel ürün, teşekkür ederim."
powertecturkiye,597,Neutral,Sarj cihazi kablosunda yüzülme vardi
strawberrykozmetik,885,Neutral,kargo 5 günde geldi satıcıda sorun yok ama aras kargoyu hemen bırakmallısın
kitapavcisi,21,Happy,ÜRÜN HEMEN KARGOLANDI VE COK GÜZEL PAKETLENMİŞ AYRICA YANINDA MİNİK BİR HEDİYE DE GELMİŞ.MAĞAZAYA ÇOK TEŞEKKÜRLER
mdotoaksesuar1,87,Neutral,Urun faturasi gelmedi
cepport,1317,Neutral,Ürün xioami note 4 x olarak geldi Allah'tan mediatek değildi aynı olduğu için geri göndermedim kutuya hatirlatmamdan dolayı iki adet dönüştürücü koymuşlar silikon kılıf 4x uyumlu değil global sürüm sıkıntı yok şimdilik kutu üstünde note 4 yazıyordu
kitapavcisi,37,Happy,Başarılı ürün Başarılı teslimat
strawberrykozmetik,681,Sad,Ürün 1 haftadan fazla sürede geldi
missliva,172,Happy,Teşekkürler
onlineaksesuar_,66,Happy,Urunler siparis ettigim gibi aynisi geldi tabletime de uydu begendim tavsiye ederim tesekkurler.
kalemsahaf,48,Happy,Teşekkürler
modapedia,3,Neutral,Üründe eksik parça var .
newyorker34,16,Sad,Ürün çok büyük...L beden yazıyor ama 3 XL Öğretmenler günü için aldım...iade Edemedim.mecburen terziye yaptırdım
otogold,163,Happy,Hızlı kargo teşekkürler.
missliva,250,Happy,"Çok memnun kaldım, teşekkürler."
strawberrykozmetik,313,Sad,"Göndermediler, yazdığım mesaja cevap da vermediler."
kalemsahaf,267,Happy,"her şey mükemmel,teşekkürlerimle..."
onlineaksesuar_,26,Happy,teşekkürler
indirim-yeri,424,Neutral,Ürün geç geldi. İletişime kimse geçmedi. Firma biraz duyarsız. İlk ve son alışım.
missliva,198,Happy,Teşekkürler.
otoaksesuarim_,571,Neutral,Urunde yirtik var
otogold,286,Happy,"süper hızlı kargo,düzgün ambalaj, ilanda belirtilen ile aynı ürün 24 saatten önce ulaştı."
firsatsever,85,Neutral,Kargo çok hızlıydı ama ürün kedimin tüylerini toplamıyor
guldasguldas,371,Neutral,Plastik kapak kapanmadi biraz daha ufak olsaydi yuvaya tam oturucakti
pleksiplakalikk,46,Happy,Şljjl
weblesene,25,Sad,"LOGITECH ÇANTA DİYE BELİRTİLEN ÇANTANIN LOGİTECH İLE ALAKASI YOK. GÖNDERİLEN ÇANTA, 10 LİRALIK ÇANTA. ÜRÜNÜN KARGOLAMA SÜRECİ BERBAT Kİ TAHMİN EDİYORUM ÜRÜN ELLERİNDE KALMADI AMA PARAYI KAÇIRMAMAK İÇİN PİYASADAN DANDİK ÜRÜN TOPLANDI GÖNDERİLDİ KÖTÜ SATICI"
korayspr,367,Sad,Ayakkabı numara değişimi diye geri gönderdik para iadesi yapmışlar onca beklemeye rağmen istesek yapmazlar ilginç netten ayakkabı almamak lazımmış
mdotoaksesuar1,60,Sad,Ürün megane 2 hb e göre değil. Satıcı ise saygısız ve seviyesiz.
ayhanlarkozmetik,675,Neutral,Çok hızlı geldi &#128077; şimdi kullanacağım bakalım
kardemticaret,71,Sad,Gümüş istedim gold rengi geldi
baysalotomotiv,402,Neutral,Kutu ezilmişti
kalemsahaf,67,Happy,teşekkürler.
prozzak3,253,Sad,Oyuncak Çok kaliteli değil
kitapavcisi,2,Neutral,Korgo ucreti
korayspr,3620,Neutral,güzel ayakkabı ama harika değil
baysalotomotiv,169,Neutral,Sızma yapmış ürün 7 ağustos 2017 üretimi Kasım aralık bari olsaydı. Neyse deneyecez bakalım.
firsatsever,152,Happy,"satıcı hemen cevap veriyor, ürün elimize hızlıca ulaştı."
kalemsahaf,266,Happy,tşk
otogold,34,Happy,"İlgili satıcı. Güzel paketleme. Resimde görünen ve açıklamalardaki ürünün aynısı geldi. Bana gelen ürün 2017/09 tarihli. 5 yıl raf ömrü olduğunu düşünürsek, 1 yıl çok normal. Teşekkürler."
yuzyilavm,52,Happy,Üründe sıkıntı yok kaliteliye benziyor ama kargo firmasıni degiştirin bence adresime getirmediler ben gidip aldım çok yoğunlarmiş.
frsatoyuncak,61,Sad,"Ürünü sipariş vereli 10 gün oldu kargo hala gelmedi, iptalini istedim şimdi de ödeme satıcıya aktarılmıştır diye gözüküyor. Birçok kez satıcıya mesaj gönderdim cevap gelmedi. Resmen dolandırıcılık bu yazıklar olsun."
esfashop,120,Happy,Teşekkürler
oyuncakxl,169,Neutral,Püskülleri çıkmadı kargodan birkaç vida eksik geldi bisiklette sorun yoktu
newyorker34,83,Happy,Ürün gayet güzel gözüküyor akşam sipariş verdim ertesi gün kargoya verildi kargpya verildikten sonraki gün elime ulaştı
kalemsahaf,220,Happy,teşekkürler
turbo_aksesuar,39,Neutral,Geç kalma
pleksiplakalikk,63,Happy,Çok Güzel olmuş Teşekkürler Arkadaşlara İlgi alakada 10 numara bu arada
turbo_aksesuar,45,Neutral,Yjmhıl
missliva,239,Happy,Çok güzel teşekkürler
korayspr,958,Neutral,Sag ayakkabi ic yuzeyinde dikis hatasi mevcut korayspor dan degisim talebinde bulundum K
newyorker34,1714,Sad,ben ürünü kalitesine göre biraz pahalı buldum.
newyorker34,816,Neutral,orijinallık konusunda pek emin olamadım. Ama inşallah yanılıyorumdur...
powertecturkiye,166,Neutral,Ambalaj kutusu ezikti.Daha dikkatli sarıkabilirdi.Kargolama hızlıydı..
firsatsever,109,Neutral,Ürün çok kullanışlı değil.
powertecturkiye,527,Neutral,Ürün güzel iş görür kargo hızlı fakat faturasız geldi garanti belgesinde keşe imza hiçbir şey yok.
modamarka-shop,223,Neutral,"merhabalar , sadece beyaz taşla olan aksesuar istemiştim. Renkli gönderilmiş :("
onlineaksesuar_,10,Neutral,kargo ücreti olması hoşuma gitmedi
avonayhan,101,Neutral,görsselde yazan ürünü gönddermedi iade etmedim çünkü başka müşterime sattım...
esfashop,115,Happy,Böyle bir üründe tek beklenti vaat edilen tarihte kargolanması olur diye düşünüyorum.1 gün geç kargolandı ama ilgililerdi ve gereken açıklama tarafima yapıldı.Memnunum (:
oyuncakxl,13,Neutral,Sesi biraz boğuk çıkıyor müzikleri pek güzel değil ve uçakları sert plastikten o yüzden beşiğe koyup.cikarirken kafasına değecek diye korkuyorum beklediğim gibi bi ürün çıkmadı.
yuzyilavm,159,Happy,Ürün hızlı bir şekilde kargoya verildi. Kutusunun içerisinde gerekli her şey ve garanti belgesi vardı. Fakat ürünün kutusu biraz zarar görmüş şekilde geldi. Kargo esnasında hoyrat davranılmış diye düşünüyorum.
guldasguldas,458,Sad,Kargo berbat .urun guzel
modamarka-shop,242,Neutral,Teslimat hızlı ama karısık renkler geldi yazdıgı gibi pembe mor degil
oyuncakxl,702,Neutral,Ürün boyutu resimde büyük görünüyor ama küçük..ses kalitesi iyi değil
kardemticaret,1492,Sad,ekran camı çizik ve kapak kapanmıyor.
engo,185,Neutral,Ekran koruyucu tam olmadi. P20ye göre evet ama tam uygun üretilmemiş ustten tasiyor az. Bilginize
newyorker34,99,Happy,"Merhaba, ürünü verdiğim adresten bugün alabildim. Geç onay için kusura bakmayın. ürünler harika. çok beğendim. yıllar önce sizden alışveriş yapmıştım. hala kullanıyorum aldıklarımı. Çok teşekkürler..."
cepport,1022,Neutral,İyi
newyorker34,130,Happy,İlgi alaka gönderi hepsi on numara tşk ederim
pleksiplakalikk,65,Happy,Kesinlikle tavsiye ederim özel ilgi özel tasarım yapıldı ve mükemmel
modamarka-shop,68,Happy,","
indirim__dunyasi,35,Neutral,Hic guzel degil
soleshopping,385,Sad,ürün eksik....
baysalotomotiv,53,Sad,paketleme berbat yağın yarısı yolda dökülmüş. aciliyetim olmasaydı iade ederdim. satıcı bundan sonra daha dikkatli yapsın paketlemeyi.
modamarka-shop,11,Happy,Çok iyi.
cepport,1927,Neutral,Ürün kaliteli f/p telefonu bu fiyata alınacak en iyi telefon bence yalnız kılıf ve ekran kırılmaz cam küçük tavsiye etmiyorum kargo on numara 2 . Gün geldi
prozzak3,150,Neutral,BEKLENTİMİN DIŞINDA BİR ÜRÜN
baysalotomotiv,838,Sad,Bu kadarıda pes yani ne biçim iş bu urunu alıyom iptal ediyor
otogold,41,Happy,Daha öncede kullanmıştım tavsiye ederim.
oyuncakxl,33,Sad,Ürünü zamanında kargoya vermediler. Mesajlarıma bile cevap vermediler. Müthiş kötü bir firma
oyuncakxl,191,Neutral,Ürün kenarları silindir şeklinde olan beşiklere uyumlu değil
smart_world,74,Sad,Kargo şirketleri iyi değildir
korayspr,1464,Neutral,Iyı
kalemsahaf,52,Neutral,Gecikmeli kargo ve bernat yurtici kargo !
indirim-yeri,865,Neutral,"standart uygulamalar,tşk"
powertecturkiye,341,Neutral,Cihaz güzel ama kargoda kutu ezilmiş.daha güzel paketlenebilirdi.
surpriz_color,366,Neutral,Kapaktaki fotoğraf düzgün kesilmemiş ve düzgün yapıştırılmamış.
oyuncakxl,630,Sad,ürünü paketlememiş. sadece streç film ile sarmış.
guldasguldas,507,Neutral,Kargo teslimatı çok geç
kalemsahaf,180,Happy,TEŞEKKÜRLER..
missliva,94,Happy,teşekkürler
kalemsahaf,86,Happy,Sorunsuz alışveriş
otoaksesuarim_,72,Neutral,Kar zinciri aldim.baska adrese yolladılar.kargo takibi ile zor elime geçti.gelen kar lastik zinciri tandik bisey.20 metrede çoğu koptu.
ayhanlarkozmetik,315,Neutral,Fena degil
avonayhan,25,Neutral,"Siparişin çok geç gelmesi, satıcının bu konuda bildirim yapmamıza rağmen geri dönüş yapmaması, kargo firmasının ürünü adrese teslim etmemesi şubeden alınacak diye gönderi yapılması... bu nedenlerle olumsuz puan verdim."
firsatsever,119,Happy,Güzel ürün. İş görüyor.
otogold,7,Sad,Bir kısmı akmış
firsatsever,117,Happy,"Ürün açıklandığı gibi, tavsiye derim."
yuzyilavm,83,Happy,Bir önceki üründeki problem çözüldü ve sorunsuz iade ettik. Tekrar aldığımız ürüm sorunsuz ve hızlı elime ulaştı.
onlineaksesuar_,51,Happy,ilği alaka için tşkler
baysalotomotiv,112,Sad,Ben ürünü almadığım halde para satıcıya nasıl aktarılıyor ben iptalini yaptım başka ütünü iptal ettiniz
kardemticaret,1219,Sad,Film kalitesi oldukca kotu
yuzyilavm,192,Happy,Gayet iyi. Çok fazla güç kullanmadan çamaşırlarınızı düzleştirebiliyorsunuz. Siparişten 5 gün sonra elimize ulaştı.
yuzyilavm,30,Happy,????????????
guldasguldas,50,Neutral,Beklediğim kalitede değildi. &#128532;
oyuncakxl,596,Sad,Oyuncak hatalı geldi nasıl degistirebilirim
kalemsahaf,94,Neutral,PLAĞI ÇALDIĞIMIZ ZAMAN CIZIRTILARI ÇOKFAZLA AMA GENEDE DİNLENİYOR
kalemsahaf,171,Happy,tesekkurler.
modamarka-shop,10,Neutral,kargo ücretsiz olması gerekirken parası bana yansıdı
otogold,141,Happy,Hızlı alışveriş.
missliva,239,Happy,teşekkürler...
merkez_oyuncak,16,Sad,kargom 1 hafta boyunca göderici şubede bekletildi.aradığımda telefonlara çıkmadı.kargo şubesi de telefonlara çıkmıyor.adakent şubesi berbat gerçi aras kargo olduğunda insan şaşırmıyor.ilgisiz satıcı
pleksiplakalikk,65,Neutral,Malzeme kalitesi iyi değil
surpriz_color,230,Sad,Beklentimi karsilamadi .
